Player,Team,Pos,Total Points,Round Points,Round Starter,Global Own %,League Own %,League Start %,League Cpt %,League Owners,Event Start Timestamp
Yasir Mozamil,Sudan,F,,,False,0.2,,,,,2025-12-24T15:00:00Z
Cédric Badolo,Burkina Faso,M,,,False,0.2,,,,,2025-12-24T12:30:00Z
Loren Zúñiga,Equatorial Guinea,F,,,False,0.2,,,,,2025-12-24T12:30:00Z
Alex Moucketou-Moussounda,Gabon,D,,,False,0.2,,,,,2025-12-24T20:00:00Z
Owen Tembo,Zambia,M,4.0,4.0,False,0.2,,,,,2025-12-22T14:00:00Z
Kenan Toibibou,Comoros,D,1.0,1.0,False,0.2,,,,,2025-12-21T19:00:00Z
Abdel Hakim Abdallah,Comoros,D,0.0,0.0,False,0.2,,,,,2025-12-21T19:00:00Z
Aboubacar Ali Abdallah,Comoros,F,0.0,0.0,False,0.2,,,,,2025-12-21T19:00:00Z
Aymeric Ahmed,Comoros,M,0.0,0.0,False,0.2,,,,,2025-12-21T19:00:00Z
Wilson Chisala,Zambia,M,0.0,0.0,False,0.2,,,,,2025-12-22T14:00:00Z
Zaïd Amir,Comoros,F,0.0,0.0,False,0.2,,,,,2025-12-21T19:00:00Z
Joseph Sabobo,Zambia,M,0.0,0.0,False,0.2,,,,,2025-12-22T14:00:00Z
Rémy Vita,Comoros,D,0.0,0.0,False,0.2,,,,,2025-12-21T19:00:00Z
Obino Chisala,Zambia,M,0.0,0.0,False,0.2,,,,,2025-12-22T14:00:00Z
Tarryn Allarakhia,Tanzania,M,,,False,0.2,,,,,2025-12-23T17:30:00Z
Manuel Kambala,Mozambique,M,,,False,0.2,,,,,2025-12-24T17:30:00Z
Alphonce Msanga,Tanzania,M,,,False,0.2,,,,,2025-12-23T17:30:00Z
Mohamed Eisa,Sudan,F,,,False,0.2,,,,,2025-12-24T15:00:00Z
Toby Sibbick,Uganda,D,,,False,0.2,,,,,2025-12-23T20:00:00Z
Adam Akimey,Benin,M,,,False,0.2,,,,,2025-12-23T12:30:00Z
Jude Ssemugabi,Uganda,F,,,False,0.2,,,,,2025-12-23T20:00:00Z
Clench Loufilou,Gabon,M,,,False,0.2,,,,,2025-12-24T20:00:00Z
Prince Dube,Zimbabwe,F,,,False,0.2,,,,,2025-12-22T20:00:00Z
Dominguês Pelembe,Mozambique,M,,,False,0.2,,,,,2025-12-24T17:30:00Z
Alex Masogo,Equatorial Guinea,M,,,False,0.2,,,,,2025-12-24T12:30:00Z
Abo Eisa,Sudan,F,,,False,0.2,,,,,2025-12-24T15:00:00Z
Melvyn Lorenzen,Uganda,F,,,False,0.2,,,,,2025-12-23T20:00:00Z
Charles M'Mombwa,Tanzania,M,,,False,0.2,,,,,2025-12-23T17:30:00Z
Witi,Mozambique,M,,,False,0.2,,,,,2025-12-24T17:30:00Z
José Machín,Equatorial Guinea,M,,,False,0.2,,,,,2025-12-24T12:30:00Z
Munashe Garananga,Zimbabwe,D,,,False,0.2,,,,,2025-12-22T20:00:00Z
Jodel Dossou,Benin,F,,,False,0.2,,,,,2025-12-23T12:30:00Z
Esteban Orozco,Equatorial Guinea,D,,,False,0.2,,,,,2025-12-24T12:30:00Z
Matteo Ahlinvi,Benin,F,,,False,0.2,,,,,2025-12-23T12:30:00Z
Rodrigue Kossi,Benin,M,,,False,0.2,,,,,2025-12-23T12:30:00Z
Bill Antonio,Zimbabwe,F,,,False,0.2,,,,,2025-12-22T20:00:00Z
Rodolfo Aloko,Benin,M,,,False,0.2,,,,,2025-12-23T12:30:00Z
Mariano Ahouangbo,Benin,M,,,False,0.2,,,,,2025-12-23T12:30:00Z
Kelvin Nashon,Tanzania,M,,,False,0.2,,,,,2025-12-23T17:30:00Z
Alex Balboa,Equatorial Guinea,M,,,False,0.2,,,,,2025-12-24T12:30:00Z
Razack Rachidou,Benin,M,,,False,0.2,,,,,2025-12-23T12:30:00Z
Romaric Amoussou,Benin,M,,,False,0.2,,,,,2025-12-23T12:30:00Z
Dominic Chanda,Zambia,D,5.0,5.0,False,0.2,,,,,2025-12-22T14:00:00Z
Ahmed Soilihi,Comoros,D,1.0,1.0,False,0.2,,,,,2025-12-21T19:00:00Z
David Hamansenya,Zambia,D,0.0,0.0,False,0.2,,,,,2025-12-22T14:00:00Z
Hugo Marques,Angola,G,0.0,0.0,False,0.2,,,,,2025-12-22T17:00:00Z
Timothy Awany,Uganda,D,,,False,0.2,,,,,2025-12-23T20:00:00Z
Pascal Msindo,Tanzania,D,,,False,0.2,,,,,2025-12-23T17:30:00Z
Hilary Mukundane,Uganda,D,,,False,0.2,,,,,2025-12-23T20:00:00Z
Junior Zindoga,Zimbabwe,F,,,False,0.2,,,,,2025-12-22T20:00:00Z
Gerald Takwara,Zimbabwe,D,,,False,0.2,,,,,2025-12-22T20:00:00Z
Sean Fusire,Zimbabwe,M,,,False,0.2,,,,,2025-12-22T20:00:00Z
Lusajo Mwaikenda,Tanzania,D,,,False,0.2,,,,,2025-12-23T17:30:00Z
Mothusi Johnson,Botswana,D,,,False,0.2,,,,,2025-12-23T15:00:00Z
Emmanuel Jalai,Zimbabwe,D,,,False,0.2,,,,,2025-12-22T20:00:00Z
Gift Prosper Mphande,Zambia,D,,,False,0.2,,,,,2025-12-22T14:00:00Z
Zuberi Foba Masudi,Tanzania,G,,,False,0.2,,,,,2025-12-23T17:30:00Z
Simon Omossola,Cameroon,G,,,False,0.2,,,,,2025-12-24T20:00:00Z
Mohamed Abuaagla,Sudan,M,,,False,0.2,,,,,2025-12-24T15:00:00Z
Rogers Torach,Uganda,D,,,False,0.2,,,,,2025-12-23T20:00:00Z
Godknows Murwira,Zimbabwe,D,,,False,0.2,,,,,2025-12-22T20:00:00Z
Gilbert Baruti,Botswana,M,,,False,0.2,,,,,2025-12-23T15:00:00Z
Lebogang Ditsele,Botswana,M,,,False,0.2,,,,,2025-12-23T15:00:00Z
Uche Ikpeazu,Uganda,F,,,False,0.2,,,,,2025-12-23T20:00:00Z
Sheddy Barglan,Sudan,D,,,False,0.2,,,,,2025-12-24T15:00:00Z
Nickson Clement Kibabage,Tanzania,D,,,False,0.2,,,,,2025-12-23T17:30:00Z
Legason Nafiani Alionzi,Uganda,G,,,False,0.2,,,,,2025-12-23T20:00:00Z
Ivane Urrubal,Mozambique,G,,,False,0.2,,,,,2025-12-24T17:30:00Z
Kimiss,Mozambique,G,,,False,0.2,,,,,2025-12-24T17:30:00Z
Ronald Ssekiganda,Uganda,M,,,False,0.2,,,,,2025-12-23T20:00:00Z
Denis Omedi,Uganda,F,,,False,0.2,,,,,2025-12-23T20:00:00Z
Ivan Ahimbisibwe,Uganda,F,,,False,0.2,,,,,2025-12-23T20:00:00Z
Rodrigue Fassinou,Benin,D,,,False,0.2,,,,,2025-12-23T12:30:00Z
Mazin Mohamedein,Sudan,D,,,False,0.2,,,,,2025-12-24T15:00:00Z
Marvin Anieboh,Equatorial Guinea,D,,,False,0.2,,,,,2025-12-24T12:30:00Z
Shafik Nana Kwikiriza,Uganda,F,,,False,0.2,,,,,2025-12-23T20:00:00Z
Washington Navaya,Zimbabwe,F,,,False,0.2,,,,,2025-12-22T20:00:00Z
Reagan Mpande,Uganda,F,,,False,0.2,,,,,2025-12-23T20:00:00Z
Dorian Hanza,Equatorial Guinea,F,,,False,0.2,,,,,2025-12-24T12:30:00Z
Daniel Msendami,Zimbabwe,M,,,False,0.2,,,,,2025-12-22T20:00:00Z
Samaké Nze Bagnama,Gabon,M,,,False,0.2,,,,,2025-12-24T20:00:00Z
Chamito Alfandega,Mozambique,F,,,False,0.1,,,,,2025-12-24T17:30:00Z
João Bonde,Mozambique,M,,,False,0.1,,,,,2025-12-24T17:30:00Z
Shavy Warren Babicka,Gabon,F,,,False,0.1,,,,,2025-12-24T20:00:00Z
Jack Lahne,Zambia,F,0.0,0.0,False,0.1,,,,,2025-12-22T14:00:00Z
Joseph Liteta,Zambia,M,0.0,0.0,False,0.1,,,,,2025-12-22T14:00:00Z
David Simukonda,Zambia,M,0.0,0.0,False,0.1,,,,,2025-12-22T14:00:00Z
Given Kalusa,Zambia,M,0.0,0.0,False,0.1,,,,,2025-12-22T14:00:00Z
Eliya Mandanji,Zambia,F,0.0,0.0,False,0.1,,,,,2025-12-22T14:00:00Z
Olatoundji Tessilimi,Benin,F,,,False,0.1,,,,,2025-12-23T12:30:00Z
Gislain Ahoudo,Benin,M,,,False,0.1,,,,,2025-12-23T12:30:00Z
Faisal Abdul Bangal,Mozambique,F,,,False,0.1,,,,,2025-12-24T17:30:00Z
Gape Mohutsiwa,Botswana,M,,,False,0.1,,,,,2025-12-23T15:00:00Z
Thabang Sesinyi,Botswana,F,,,False,0.1,,,,,2025-12-23T15:00:00Z
Gildo,Mozambique,F,,,False,0.1,,,,,2025-12-24T17:30:00Z
Gael Akogo Esono,Equatorial Guinea,M,,,False,0.1,,,,,2025-12-24T12:30:00Z
Khalid Habibu,Tanzania,M,,,False,0.1,,,,,2025-12-23T17:30:00Z
José Nabil,Equatorial Guinea,F,,,False,0.1,,,,,2025-12-24T12:30:00Z
Edlin Essang-Matouti,Gabon,F,,,False,0.1,,,,,2025-12-24T20:00:00Z
Keyns Abdala,Mozambique,M,,,False,0.1,,,,,2025-12-24T17:30:00Z
