Player,Team,Pos,Price,Total Points,Round Points,Rnd Strt,Global Own %,League Own %,League Start %,League Cpt %,League Owners,Event Start Timestamp
Chemsdine Talbi,Morocco,M,5.5,0.0,0.0,0.0,2.8,,,,,2025-12-21T19:00:00Z
Assane Diao,Senegal,F,6.0,,,,2.8,,,,,2025-12-23T15:00:00Z
Mostafa Mohamed,Egypt,F,7.0,5.0,5.0,0.0,2.7,,,,,2025-12-22T20:00:00Z
Aubrey Modiba,South Africa,D,5.5,5.0,5.0,1.0,2.7,,,,,2025-12-22T17:00:00Z
Fisayo Dele-Bashiru,Nigeria,M,6.0,2.0,2.0,0.0,2.7,,,,,2025-12-23T17:30:00Z
Jim Allevinah,Gabon,M,6.0,1.0,1.0,0.0,2.7,,,,,2025-12-24T20:00:00Z
Omar Mascarell,Equatorial Guinea,M,6.0,0.0,0.0,1.0,2.7,,,,,2025-12-24T12:30:00Z
Ilias Akhomach,Morocco,M,6.0,0.0,0.0,0.0,2.7,,,,,2025-12-21T19:00:00Z
Christian Bassogog,Cameroon,M,6.0,0.0,0.0,0.0,2.7,,,,,2025-12-24T20:00:00Z
Boulaye Dia,Senegal,F,6.0,0.0,0.0,0.0,2.7,,,,,2025-12-23T15:00:00Z
Sikou Niakaté,Mali,D,5.5,,,,2.7,,,,,2025-12-22T14:00:00Z
Issoufou Dayo,Burkina Faso,D,5.5,6.0,6.0,1.0,2.6,,,,,2025-12-24T12:30:00Z
Rafiki Saïd,Comoros,M,6.0,2.0,2.0,1.0,2.6,,,,,2025-12-21T19:00:00Z
Zito Luvumbo,Angola,F,6.0,2.0,2.0,1.0,2.6,,,,,2025-12-22T17:00:00Z
Paul Onuachu,Nigeria,F,6.0,0.0,0.0,0.0,2.6,,,,,2025-12-23T17:30:00Z
Habib Diallo,Senegal,F,6.0,0.0,0.0,0.0,2.6,,,,,2025-12-23T15:00:00Z
Jean-Philippe Gbamin,Côte d'Ivoire,M,6.0,0.0,0.0,0.0,2.6,,,,,2025-12-24T17:30:00Z
Junior Dina Ebimbe,Cameroon,M,6.0,0.0,0.0,0.0,2.6,,,,,2025-12-24T20:00:00Z
Michel Ange Balikwisha,DR Congo,M,6.0,0.0,0.0,0.0,2.6,,,,,2025-12-23T12:30:00Z
Simon Banza,DR Congo,F,6.0,,,,2.6,,,,,2025-12-23T12:30:00Z
Mohamed Ali Ben Romdhane,Tunisia,M,6.5,2.0,2.0,0.0,2.5,,,,,2025-12-23T20:00:00Z
Joris Kayembe,DR Congo,D,5.5,1.0,1.0,0.0,2.5,,,,,2025-12-23T12:30:00Z
Monsef Bakrar,Algeria,F,6.0,0.0,0.0,0.0,2.5,,,,,2025-12-24T15:00:00Z
Malick Evouna,Gabon,M,6.0,0.0,0.0,0.0,2.5,,,,,2025-12-24T20:00:00Z
Christopher Wooh,Cameroon,D,5.5,0.0,0.0,0.0,2.5,,,,,2025-12-24T20:00:00Z
Losika Ratshukudu,Botswana,M,4.0,0.0,0.0,0.0,2.5,,,,,2025-12-23T15:00:00Z
Ibrahim Sangaré,Côte d'Ivoire,M,8.5,5.0,5.0,1.0,2.4,,,,,2025-12-24T17:30:00Z
Siyabonga Ngezana,South Africa,D,5.5,5.0,5.0,1.0,2.4,,,,,2025-12-22T17:00:00Z
Kialonda Gaspar,Angola,D,6.5,1.0,1.0,1.0,2.4,,,,,2025-12-22T17:00:00Z
Houssem Teka,Tunisia,M,4.0,,,,2.4,,,,,2025-12-23T20:00:00Z
Pape Gueye,Senegal,M,7.0,4.0,4.0,1.0,2.3,,,,,2025-12-23T15:00:00Z
Mohanad Lasheen,Egypt,M,6.0,0.0,0.0,0.0,2.3,,,,,2025-12-22T20:00:00Z
Zini,Angola,F,6.0,,,,2.3,,,,,2025-12-22T17:00:00Z
Goitseone Phoko,Botswana,G,4.0,12.0,12.0,1.0,2.2,,,,,2025-12-23T15:00:00Z
Adil Boulbina,Algeria,M,5.5,1.0,1.0,0.0,2.2,,,,,2025-12-24T15:00:00Z
Samuel Essende,DR Congo,F,6.0,0.0,0.0,0.0,2.2,,,,,2025-12-23T12:30:00Z
Bruno Onyemaechi,Nigeria,D,5.5,0.0,0.0,0.0,2.2,,,,,2025-12-23T17:30:00Z
Jean-Charles Castelletto,Cameroon,D,5.5,,,,2.2,,,,,2025-12-24T20:00:00Z
Krépin Diatta,Senegal,M,6.0,6.0,6.0,1.0,2.1,,,,,2025-12-23T15:00:00Z
Lionel M'Pasi,DR Congo,G,5.0,6.0,6.0,1.0,2.1,,,,,2025-12-23T12:30:00Z
Shomari Kapombe,Tanzania,D,4.0,2.0,2.0,1.0,2.1,,,,,2025-12-23T17:30:00Z
Alban Lafont,Côte d'Ivoire,G,4.5,0.0,0.0,0.0,2.1,,,,,2025-12-24T17:30:00Z
Georgi Minoungou,Burkina Faso,M,5.0,7.0,7.0,0.0,2.0,,,,,2025-12-24T12:30:00Z
Steeve Yago,Burkina Faso,D,5.5,1.0,1.0,1.0,2.0,,,,,2025-12-24T12:30:00Z
Redouane Berkane,Algeria,F,4.0,0.0,0.0,0.0,2.0,,,,,2025-12-24T15:00:00Z
Bruno Ecuele Manga,Gabon,D,5.5,7.0,7.0,1.0,1.9,,,,,2025-12-24T20:00:00Z
Jacques Ekomie,Gabon,D,5.5,6.0,6.0,1.0,1.9,,,,,2025-12-24T20:00:00Z
Mario Lemina,Gabon,M,7.0,1.0,1.0,0.0,1.9,,,,,2025-12-24T20:00:00Z
Farès Chaïbi,Algeria,M,6.5,1.0,1.0,1.0,1.9,,,,,2025-12-24T15:00:00Z
Rocky Bushiri Kiranga,DR Congo,D,5.5,0.0,0.0,0.0,1.9,,,,,2025-12-23T12:30:00Z
Adam Masina,Morocco,D,5.5,0.0,0.0,0.0,1.9,,,,,2025-12-21T19:00:00Z
Junior Tchamadeu,Cameroon,D,5.5,6.0,6.0,1.0,1.8,,,,,2025-12-24T20:00:00Z
Gustavo Sangaré,Burkina Faso,M,5.5,5.0,5.0,1.0,1.8,,,,,2025-12-24T12:30:00Z
Djigui Diarra,Mali,G,5.0,1.0,1.0,1.0,1.8,,,,,2025-12-22T14:00:00Z
Jonathan Buatu,Angola,D,5.5,0.0,0.0,1.0,1.8,,,,,2025-12-22T17:00:00Z
Evann Guessand,Côte d'Ivoire,F,5.5,0.0,0.0,0.0,1.8,,,,,2025-12-24T17:30:00Z
Hamari Traoré,Mali,D,5.0,0.0,0.0,0.0,1.8,,,,,2025-12-22T14:00:00Z
Willy Boly,Côte d'Ivoire,D,5.0,0.0,0.0,0.0,1.8,,,,,2025-12-24T17:30:00Z
Relebohile Mofokeng,South Africa,M,4.5,0.0,0.0,0.0,1.8,,,,,2025-12-22T17:00:00Z
Dorgeles Nene,Mali,F,6.5,6.0,6.0,1.0,1.7,,,,,2025-12-22T14:00:00Z
Ibrahim Blati Tourè,Burkina Faso,M,5.5,2.0,2.0,1.0,1.7,,,,,2025-12-24T12:30:00Z
Mohau Nkota,South Africa,M,5.5,1.0,1.0,1.0,1.7,,,,,2025-12-22T17:00:00Z
Emilio Nsue,Equatorial Guinea,F,5.5,0.0,0.0,0.0,1.7,,,,,2025-12-24T12:30:00Z
Abdelrazig Omer,Sudan,M,4.0,4.0,4.0,1.0,1.6,,,,,2025-12-24T15:00:00Z
Ferjani Sassi,Tunisia,M,6.5,2.0,2.0,1.0,1.6,,,,,2025-12-23T20:00:00Z
Samuel Moutoussamy,DR Congo,M,5.5,2.0,2.0,1.0,1.6,,,,,2025-12-23T12:30:00Z
Pathé Ismaël Ciss,Senegal,M,5.5,1.0,1.0,0.0,1.6,,,,,2025-12-23T15:00:00Z
Eliesse Ben Seghir,Morocco,M,7.0,0.0,0.0,0.0,1.6,,,,,2025-12-21T19:00:00Z
Frank Onyeka,Nigeria,M,6.5,0.0,0.0,0.0,1.6,,,,,2025-12-23T17:30:00Z
Mohamed Camara,Mali,M,5.0,0.0,0.0,0.0,1.6,,,,,2025-12-22T14:00:00Z
Mostafa Shobeir,Egypt,G,4.5,0.0,0.0,0.0,1.6,,,,,2025-12-22T20:00:00Z
Hicham Boudaoui,Algeria,M,6.5,7.0,7.0,1.0,1.5,,,,,2025-12-24T15:00:00Z
Bertrand Traoré,Burkina Faso,F,8.0,6.0,6.0,1.0,1.5,,,,,2025-12-24T12:30:00Z
Rafik Belghali,Algeria,M,5.5,2.0,2.0,1.0,1.5,,,,,2025-12-24T15:00:00Z
Ismael Gharbi,Tunisia,M,6.5,1.0,1.0,0.0,1.5,,,,,2025-12-23T20:00:00Z
Moses Simon,Nigeria,F,6.5,1.0,1.0,0.0,1.5,,,,,2025-12-23T17:30:00Z
Oumar Diakité,Côte d'Ivoire,F,6.5,0.0,0.0,0.0,1.5,,,,,2025-12-24T17:30:00Z
Fodé Doucouré,Mali,M,5.5,0.0,0.0,0.0,1.5,,,,,2025-12-22T14:00:00Z
Georges-Kévin N'Koudou,Cameroon,M,5.5,0.0,0.0,0.0,1.5,,,,,2025-12-24T20:00:00Z
Mahamadou Nagida,Cameroon,D,4.0,0.0,0.0,0.0,1.5,,,,,2025-12-24T20:00:00Z
Elias Mrugau Maguli,Tanzania,F,4.0,,,,1.5,,,,,2025-12-23T17:30:00Z
Devis Epassy,Cameroon,G,5.0,10.0,10.0,1.0,1.4,,,,,2025-12-24T20:00:00Z
Jean Michaël Seri,Côte d'Ivoire,M,5.5,3.0,3.0,1.0,1.4,,,,,2025-12-24T17:30:00Z
Cyriaque Irié,Burkina Faso,M,5.5,2.0,2.0,0.0,1.4,,,,,2025-12-24T12:30:00Z
Ibrahim Mbaye,Senegal,F,7.5,1.0,1.0,0.0,1.4,,,,,2025-12-23T15:00:00Z
Jean Onana,Cameroon,M,5.5,1.0,1.0,0.0,1.4,,,,,2025-12-24T20:00:00Z
Milson,Angola,M,5.5,1.0,1.0,0.0,1.4,,,,,2025-12-22T17:00:00Z
Adem Zorgane,Algeria,M,5.5,0.0,0.0,0.0,1.4,,,,,2025-12-24T15:00:00Z
Junior Olaitan,Benin,M,5.5,,,,1.4,,,,,2025-12-23T12:30:00Z
Youssouf M'Changama,Comoros,M,5.5,4.0,4.0,1.0,1.3,,,,,2025-12-21T19:00:00Z
Anis Hadj Moussa,Algeria,F,7.0,2.0,2.0,0.0,1.3,,,,,2025-12-24T15:00:00Z
Maestro,Angola,M,5.5,2.0,2.0,1.0,1.3,,,,,2025-12-22T17:00:00Z
Mamadou Fofana,Mali,D,5.0,2.0,2.0,1.0,1.3,,,,,2025-12-22T14:00:00Z
Sebastian Tounekti,Tunisia,M,5.5,1.0,1.0,0.0,1.3,,,,,2025-12-23T20:00:00Z
Gaoussou Diarra,Mali,M,5.5,1.0,1.0,0.0,1.3,,,,,2025-12-22T14:00:00Z
Woyo Coulibaly,Mali,D,4.5,1.0,1.0,1.0,1.3,,,,,2025-12-22T14:00:00Z
Guélor Kanga,Gabon,M,5.5,0.0,0.0,0.0,1.3,,,,,2025-12-24T20:00:00Z
Yassine Meriah,Tunisia,D,5.0,0.0,0.0,0.0,1.3,,,,,2025-12-23T20:00:00Z
Francis Uzoho,Nigeria,G,4.5,0.0,0.0,0.0,1.3,,,,,2025-12-23T17:30:00Z
Mory Diaw,Senegal,G,4.0,0.0,0.0,0.0,1.3,,,,,2025-12-23T15:00:00Z
Emmanuel Jalai,Zimbabwe,D,4.0,9.0,9.0,1.0,1.2,,,,,2025-12-22T20:00:00Z
Mamadou Sangare,Mali,M,7.5,7.0,7.0,1.0,1.2,,,,,2025-12-22T14:00:00Z
Hossam Abdelmaguid,Egypt,D,5.0,7.0,7.0,1.0,1.2,,,,,2025-12-22T20:00:00Z
Hassane Imourane,Benin,M,5.5,6.0,6.0,1.0,1.2,,,,,2025-12-23T12:30:00Z
Guima,Mozambique,M,4.0,6.0,6.0,1.0,1.2,,,,,2025-12-24T17:30:00Z
André Poko,Gabon,M,5.5,5.0,5.0,1.0,1.2,,,,,2025-12-24T20:00:00Z
Didier N'Dong,Gabon,M,5.5,5.0,5.0,1.0,1.2,,,,,2025-12-24T20:00:00Z
Royce Openda,Gabon,F,5.5,5.0,5.0,1.0,1.2,,,,,2025-12-24T20:00:00Z
M'Bala Nzola,Angola,F,5.5,3.0,3.0,1.0,1.2,,,,,2025-12-22T17:00:00Z
Meschack Elia,DR Congo,F,6.5,1.0,1.0,0.0,1.2,,,,,2025-12-23T12:30:00Z
Denis Bouanga,Gabon,F,8.0,0.0,0.0,1.0,1.2,,,,,2025-12-24T20:00:00Z
Pedro Obiang,Equatorial Guinea,M,5.5,0.0,0.0,0.0,1.2,,,,,2025-12-24T12:30:00Z
Mohamed Zougrana,Burkina Faso,M,5.5,0.0,0.0,0.0,1.2,,,,,2025-12-24T12:30:00Z
Akor Adams,Nigeria,F,5.0,0.0,0.0,1.0,1.2,,,,,2025-12-23T17:30:00Z
Samuel Kotto,Cameroon,D,5.0,10.0,10.0,1.0,1.1,,,,,2025-12-24T20:00:00Z
Bakari Mwamnyeto,Tanzania,D,4.0,8.0,8.0,1.0,1.1,,,,,2025-12-23T17:30:00Z
Mathews Banda,Zambia,D,4.0,7.0,7.0,1.0,1.1,,,,,2025-12-22T14:00:00Z
Arsène Kouassi,Burkina Faso,D,5.0,6.0,6.0,1.0,1.1,,,,,2025-12-24T12:30:00Z
Sipho Mbule,South Africa,M,5.0,5.0,5.0,1.0,1.1,,,,,2025-12-22T17:00:00Z
Pablo Ganet,Equatorial Guinea,M,5.5,3.0,3.0,1.0,1.1,,,,,2025-12-24T12:30:00Z
Arthur Avom Ebong,Cameroon,M,6.5,2.0,2.0,1.0,1.1,,,,,2025-12-24T20:00:00Z
Mbwana Ally Samatta,Tanzania,F,5.5,2.0,2.0,1.0,1.1,,,,,2025-12-23T17:30:00Z
Beni Mukendi,Angola,M,5.5,2.0,2.0,0.0,1.1,,,,,2025-12-22T17:00:00Z
Travis Mutyaba,Uganda,M,4.0,2.0,2.0,0.0,1.1,,,,,2025-12-23T20:00:00Z
Bilal El Khannouss,Morocco,M,8.0,1.0,1.0,0.0,1.1,,,,,2025-12-21T19:00:00Z
Stephane Aziz Ki,Burkina Faso,F,5.5,1.0,1.0,0.0,1.1,,,,,2025-12-24T12:30:00Z
Naïm Sliti,Tunisia,M,6.5,0.0,0.0,0.0,1.1,,,,,2025-12-23T20:00:00Z
Mohamed Shehata,Egypt,M,5.5,0.0,0.0,0.0,1.1,,,,,2025-12-22T20:00:00Z
Thalente Mbatha,South Africa,M,5.5,0.0,0.0,0.0,1.1,,,,,2025-12-22T17:00:00Z
Bathusi Aubaas,South Africa,M,5.5,0.0,0.0,0.0,1.1,,,,,2025-12-22T17:00:00Z
Rui Modesto,Angola,M,5.5,0.0,0.0,0.0,1.1,,,,,2025-12-22T17:00:00Z
Jérémy Oyono,Gabon,M,5.5,0.0,0.0,0.0,1.1,,,,,2025-12-24T20:00:00Z
Antoine Mendy,Senegal,D,5.0,0.0,0.0,0.0,1.1,,,,,2025-12-23T15:00:00Z
Firas Chaouat,Tunisia,F,4.5,0.0,0.0,0.0,1.1,,,,,2025-12-23T20:00:00Z
Tylon Smith,South Africa,D,4.0,0.0,0.0,0.0,1.1,,,,,2025-12-22T17:00:00Z
Nathanaël Mbuku,DR Congo,F,5.0,6.0,6.0,1.0,1.0,,,,,2025-12-23T12:30:00Z
Neil El Aynaoui,Morocco,M,7.5,3.0,3.0,1.0,1.0,,,,,2025-12-21T19:00:00Z
Ibrahim Adel,Egypt,M,6.5,2.0,2.0,0.0,1.0,,,,,2025-12-22T20:00:00Z
Edo Kayembe,DR Congo,M,6.5,0.0,0.0,1.0,1.0,,,,,2025-12-23T12:30:00Z
Jean-Philippe Krasso,Côte d'Ivoire,F,6.5,0.0,0.0,0.0,1.0,,,,,2025-12-24T17:30:00Z
Ryan Alebiosu,Nigeria,M,5.5,0.0,0.0,0.0,1.0,,,,,2025-12-23T17:30:00Z
Olivier Kemen,Cameroon,M,5.5,0.0,0.0,0.0,1.0,,,,,2025-12-24T20:00:00Z
