Player,Team,Pos,Price,Total Points,Round Points,Rnd Strt,Global Own %,League Own %,League Start %,League Cpt %,League Owners,Event Start Timestamp
Oussama Targhalline,Morocco,M,6.5,0.0,0.0,0.0,0.7,,,,,2025-12-21T19:00:00Z
Brian Cipenga,DR Congo,F,5.5,0.0,0.0,0.0,0.7,,,,,2025-12-23T12:30:00Z
Evidence Makgopa,South Africa,F,5.0,0.0,0.0,0.0,0.7,,,,,2025-12-22T17:00:00Z
Neblú,Angola,G,5.0,0.0,0.0,0.0,0.7,,,,,2025-12-22T17:00:00Z
Zineddine Belaid,Algeria,D,4.5,0.0,0.0,0.0,0.7,,,,,2025-12-24T15:00:00Z
Nkosinathi Sibisi,South Africa,D,4.5,0.0,0.0,0.0,0.7,,,,,2025-12-22T17:00:00Z
Igoh Ogbu,Nigeria,D,4.5,0.0,0.0,0.0,0.7,,,,,2025-12-23T17:30:00Z
Mohamed Koné,Côte d'Ivoire,G,4.0,0.0,0.0,0.0,0.7,,,,,2025-12-24T17:30:00Z
Edouard Sombang,Cameroon,G,4.0,0.0,0.0,0.0,0.7,,,,,2025-12-24T20:00:00Z
Javier Mum,Equatorial Guinea,D,4.0,0.0,0.0,0.0,0.7,,,,,2025-12-24T12:30:00Z
Steve Mounié,Benin,F,5.0,,,,0.7,,,,,2025-12-23T12:30:00Z
José Machín,Equatorial Guinea,M,4.5,7.0,7.0,1.0,0.6,,,,,2025-12-24T12:30:00Z
Washington Arubi,Zimbabwe,G,4.0,7.0,7.0,1.0,0.6,,,,,2025-12-22T20:00:00Z
Benson Sakala,Zambia,M,4.5,5.0,5.0,1.0,0.6,,,,,2025-12-22T14:00:00Z
Lassina Traoré,Burkina Faso,F,7.5,1.0,1.0,0.0,0.6,,,,,2025-12-24T12:30:00Z
Luís Asué,Equatorial Guinea,F,5.5,1.0,1.0,1.0,0.6,,,,,2025-12-24T12:30:00Z
Omaatla Kebatho,Botswana,F,4.0,1.0,1.0,1.0,0.6,,,,,2025-12-23T15:00:00Z
Ousseni Bouda,Burkina Faso,F,5.5,0.0,0.0,0.0,0.6,,,,,2025-12-24T12:30:00Z
Chidozie Awaziem,Nigeria,D,5.0,0.0,0.0,0.0,0.6,,,,,2025-12-23T17:30:00Z
Elias Mokwana,South Africa,M,5.0,0.0,0.0,0.0,0.6,,,,,2025-12-22T17:00:00Z
Farid Ouedraogo,Burkina Faso,G,5.0,0.0,0.0,0.0,0.6,,,,,2025-12-24T12:30:00Z
Mamadou Lamine Camara,Senegal,M,4.5,0.0,0.0,,0.6,,,,,2025-12-23T15:00:00Z
Munir El Kajoui,Morocco,G,4.5,0.0,0.0,0.0,0.6,,,,,2025-12-21T19:00:00Z
Tochukwu Nnadi,Nigeria,M,4.5,0.0,0.0,0.0,0.6,,,,,2025-12-23T17:30:00Z
Tholo Thabang Matuludi,South Africa,D,4.0,0.0,0.0,0.0,0.6,,,,,2025-12-22T17:00:00Z
Ricardo Goss,South Africa,G,4.0,0.0,0.0,0.0,0.6,,,,,2025-12-22T17:00:00Z
Nathan Gassama,Mali,D,4.0,0.0,0.0,0.0,0.6,,,,,2025-12-22T14:00:00Z
Aamir Abdallah,Sudan,M,4.0,0.0,0.0,0.0,0.6,,,,,2025-12-24T15:00:00Z
Mohamed Sobhi,Egypt,G,4.0,,,,0.6,,,,,2025-12-22T20:00:00Z
Abdul Suleiman,Tanzania,F,4.0,,,,0.6,,,,,2025-12-23T17:30:00Z
Oscar Cherene,Mozambique,F,4.0,,,,0.6,,,,,2025-12-24T17:30:00Z
Ernan,Mozambique,G,4.5,7.0,7.0,1.0,0.5,,,,,2025-12-24T17:30:00Z
Marvin Anieboh,Equatorial Guinea,D,4.0,7.0,7.0,0.0,0.5,,,,,2025-12-24T12:30:00Z
Hamdy Fathy,Egypt,M,7.0,6.0,6.0,1.0,0.5,,,,,2025-12-22T20:00:00Z
Abdoul Rachid Moumini,Benin,D,4.5,5.0,5.0,1.0,0.5,,,,,2025-12-23T12:30:00Z
Olivier Verdon,Benin,D,5.0,4.0,4.0,1.0,0.5,,,,,2025-12-23T12:30:00Z
Jonah Fabisch,Zimbabwe,M,4.0,4.0,4.0,1.0,0.5,,,,,2025-12-22T20:00:00Z
Ibrahim Hamad,Tanzania,D,5.0,3.0,3.0,1.0,0.5,,,,,2025-12-23T17:30:00Z
Tshepang Moremi,South Africa,M,4.5,3.0,3.0,0.0,0.5,,,,,2025-12-22T17:00:00Z
Ngal'ayel Mukau,DR Congo,M,7.5,2.0,2.0,0.0,0.5,,,,,2025-12-23T12:30:00Z
Salim Jamal Magoola,Uganda,G,4.5,2.0,2.0,1.0,0.5,,,,,2025-12-23T20:00:00Z
Yannis Kari,Comoros,D,4.0,2.0,2.0,1.0,0.5,,,,,2025-12-21T19:00:00Z
Kings Kangwa,Zambia,M,5.0,1.0,1.0,1.0,0.5,,,,,2025-12-22T14:00:00Z
Mothusi Cooper,Botswana,M,4.0,1.0,1.0,1.0,0.5,,,,,2025-12-23T15:00:00Z
Christian Kofane,Cameroon,F,7.5,0.0,0.0,0.0,0.5,,,,,2025-12-24T20:00:00Z
Gaoussou Diakite,Mali,F,5.0,0.0,0.0,0.0,0.5,,,,,2025-12-22T14:00:00Z
Abdoulaye Seck,Senegal,D,5.0,0.0,0.0,0.0,0.5,,,,,2025-12-23T15:00:00Z
Mehdi Dorval,Algeria,M,5.0,0.0,0.0,0.0,0.5,,,,,2025-12-24T15:00:00Z
Mahmoud Saber,Egypt,M,5.0,0.0,0.0,0.0,0.5,,,,,2025-12-22T20:00:00Z
Mamadou Camara,Mali,M,5.0,0.0,0.0,0.0,0.5,,,,,2025-12-22T14:00:00Z
Divine Lunga,Zimbabwe,D,4.5,0.0,0.0,0.0,0.5,,,,,2025-12-22T20:00:00Z
Kilian Nikièma,Burkina Faso,G,4.5,0.0,0.0,0.0,0.5,,,,,2025-12-24T12:30:00Z
Elvis Chipezeze,Zimbabwe,G,4.5,0.0,0.0,0.0,0.5,,,,,2025-12-22T20:00:00Z
Sipho Chaine,South Africa,G,4.5,0.0,0.0,0.0,0.5,,,,,2025-12-22T17:00:00Z
Keagile Kgosipula,Botswana,G,4.5,0.0,0.0,0.0,0.5,,,,,2025-12-23T15:00:00Z
Ali Abdallah Abu-Eshrein,Sudan,G,4.5,0.0,0.0,0.0,0.5,,,,,2025-12-24T15:00:00Z
Raouf Mroivili,Comoros,M,4.0,0.0,0.0,0.0,0.5,,,,,2025-12-21T19:00:00Z
Idris Mohamed,Comoros,D,4.0,0.0,0.0,0.0,0.5,,,,,2025-12-21T19:00:00Z
Oussama Benbot,Algeria,G,4.0,0.0,0.0,0.0,0.5,,,,,2025-12-24T15:00:00Z
Kabaso Chongo,Zambia,D,4.0,0.0,0.0,0.0,0.5,,,,,2025-12-22T14:00:00Z
Walieldin Khidir,Sudan,M,4.0,0.0,0.0,0.0,0.5,,,,,2025-12-24T15:00:00Z
Monty Enosa,Botswana,M,4.0,0.0,0.0,0.0,0.5,,,,,2025-12-23T15:00:00Z
Charles Ondo,Equatorial Guinea,D,4.0,-2.0,-2.0,0.0,0.5,,,,,2025-12-24T12:30:00Z
Mohamed Ismail,Egypt,D,4.5,,,,0.5,,,,,2025-12-22T20:00:00Z
Sabri Ben Hessen,Tunisia,G,4.0,,,,0.5,,,,,2025-12-23T20:00:00Z
Ahmed Bakari Pipino,Tanzania,M,4.0,,,,0.5,,,,,2025-12-23T17:30:00Z
Alex Moucketou-Moussounda,Gabon,D,5.0,8.0,8.0,1.0,0.4,,,,,2025-12-24T20:00:00Z
Gerald Takwara,Zimbabwe,D,4.0,7.0,7.0,1.0,0.4,,,,,2025-12-22T20:00:00Z
Yohan Roche,Benin,D,5.0,4.0,4.0,1.0,0.4,,,,,2025-12-23T12:30:00Z
Edson Mexer,Mozambique,D,4.5,4.0,4.0,1.0,0.4,,,,,2025-12-24T17:30:00Z
Lubambo Musonda,Zambia,M,5.0,3.0,3.0,1.0,0.4,,,,,2025-12-22T14:00:00Z
Dokou Dodo,Benin,M,5.0,3.0,3.0,1.0,0.4,,,,,2025-12-23T12:30:00Z
Aziz Kayondo,Uganda,D,4.5,3.0,3.0,1.0,0.4,,,,,2025-12-23T20:00:00Z
Thatayaone Ditlhokwe,Botswana,D,4.5,3.0,3.0,1.0,0.4,,,,,2025-12-23T15:00:00Z
Miguel Changa Chaiwa,Zambia,M,4.5,3.0,3.0,1.0,0.4,,,,,2025-12-22T14:00:00Z
Ammar Taifour,Sudan,M,4.0,3.0,3.0,1.0,0.4,,,,,2025-12-24T15:00:00Z
Anthony Oyono,Gabon,D,5.0,2.0,2.0,1.0,0.4,,,,,2025-12-24T20:00:00Z
Alford Velaphi,Botswana,D,4.0,2.0,2.0,1.0,0.4,,,,,2025-12-23T15:00:00Z
Awad Zayed,Sudan,D,4.0,2.0,2.0,0.0,0.4,,,,,2025-12-24T15:00:00Z
Saidou Simporé,Burkina Faso,D,5.0,1.0,1.0,0.0,0.4,,,,,2025-12-24T12:30:00Z
Diogo Calila,Mozambique,M,4.0,1.0,1.0,1.0,0.4,,,,,2025-12-24T17:30:00Z
Mostafa Fathy,Egypt,M,7.0,0.0,0.0,0.0,0.4,,,,,2025-12-22T20:00:00Z
Mortadha Ben Ouanes,Tunisia,M,5.0,0.0,0.0,0.0,0.4,,,,,2025-12-23T20:00:00Z
Khaled Sobhi,Egypt,D,5.0,0.0,0.0,0.0,0.4,,,,,2025-12-22T20:00:00Z
Mohamed Ben Ali,Tunisia,D,5.0,0.0,0.0,0.0,0.4,,,,,2025-12-23T20:00:00Z
Ismahila Ouédraogo,Burkina Faso,M,5.0,0.0,0.0,1.0,0.4,,,,,2025-12-24T12:30:00Z
Mohamed Husseini,Tanzania,D,5.0,0.0,0.0,1.0,0.4,,,,,2025-12-23T17:30:00Z
Mohamed Belhadj Mahmoud,Tunisia,M,5.0,0.0,0.0,0.0,0.4,,,,,2025-12-23T20:00:00Z
Ahmed Eid,Egypt,D,5.0,0.0,0.0,0.0,0.4,,,,,2025-12-22T20:00:00Z
Cyriel Dessers,Nigeria,F,5.0,0.0,0.0,0.0,0.4,,,,,2025-12-23T17:30:00Z
Adamo Nagalo,Burkina Faso,D,5.0,0.0,0.0,0.0,0.4,,,,,2025-12-24T12:30:00Z
Khulumani Ndamane,South Africa,D,4.5,0.0,0.0,0.0,0.4,,,,,2025-12-22T17:00:00Z
Steve Kapuadi,DR Congo,D,4.5,0.0,0.0,0.0,0.4,,,,,2025-12-23T12:30:00Z
Pedro Bondo,Angola,D,4.5,0.0,0.0,0.0,0.4,,,,,2025-12-22T17:00:00Z
Antonio Signori Dominique,Angola,G,4.5,0.0,0.0,0.0,0.4,,,,,2025-12-22T17:00:00Z
Tawanda Chirewa,Zimbabwe,M,4.5,0.0,0.0,0.0,0.4,,,,,2025-12-22T20:00:00Z
Aitor Embela Gil,Equatorial Guinea,G,4.5,0.0,0.0,0.0,0.4,,,,,2025-12-24T12:30:00Z
Simon Ngapandouetnbu,Cameroon,G,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-24T20:00:00Z
Ahmed Yousif Tabanja,Sudan,D,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-24T15:00:00Z
Olebogeng Ramotse,Botswana,M,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-23T15:00:00Z
Mohamed Abooja,Sudan,G,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-24T15:00:00Z
Lawrence Mulenga,Zambia,G,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-22T14:00:00Z
Manuel Sapunga,Equatorial Guinea,G,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-24T12:30:00Z
John Robia,Sudan,F,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-24T15:00:00Z
Bakhit Khamis,Sudan,D,4.0,0.0,0.0,1.0,0.4,,,,,2025-12-24T15:00:00Z
Mehdi Al Harrar,Morocco,G,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-21T19:00:00Z
Segolame Boy,Botswana,M,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-23T15:00:00Z
Iyad Mohamed,Comoros,M,4.0,0.0,0.0,1.0,0.4,,,,,2025-12-21T19:00:00Z
Ismael Diawara,Mali,G,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-22T14:00:00Z
Noureddine Farhati,Tunisia,G,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-23T20:00:00Z
Néstor Senra,Equatorial Guinea,D,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-24T12:30:00Z
Ishmael Wadi,Zimbabwe,F,4.0,0.0,0.0,0.0,0.4,,,,,2025-12-22T20:00:00Z
Mohamed Saeed Ahmed,Sudan,D,4.5,-1.0,-1.0,1.0,0.4,,,,,2025-12-24T15:00:00Z
Salaheldin Adil,Sudan,M,4.0,-4.0,-4.0,1.0,0.4,,,,,2025-12-24T15:00:00Z
Mario Stroeykens,DR Congo,M,7.0,,,,0.4,,,,,2025-12-23T12:30:00Z
Feisal Salum,Tanzania,M,5.0,,,,0.4,,,,,2025-12-23T17:30:00Z
Youssef Belammari,Morocco,D,4.5,,,,0.4,,,,,2025-12-21T19:00:00Z
Eddie Afonso,Angola,D,4.5,,,,0.4,,,,,2025-12-22T17:00:00Z
Elio Capradossi,Uganda,D,4.0,,,,0.4,,,,,2025-12-23T20:00:00Z
Stoppila Sunzu,Zambia,D,4.0,,,,0.4,,,,,2025-12-22T14:00:00Z
Hussein Masalanga,Tanzania,G,4.0,,,,0.4,,,,,2025-12-23T17:30:00Z
Michael Ngaah,Equatorial Guinea,D,4.0,,,,0.4,,,,,2025-12-24T12:30:00Z
Zuberi Foba Masudi,Tanzania,G,4.0,6.0,6.0,1.0,0.3,,,,,2025-12-23T17:30:00Z
Bruno Langa,Mozambique,D,5.0,5.0,5.0,1.0,0.3,,,,,2025-12-24T17:30:00Z
Simon Msuva,Tanzania,F,5.0,4.0,4.0,1.0,0.3,,,,,2025-12-23T17:30:00Z
Khalid Aucho,Uganda,M,4.5,4.0,4.0,1.0,0.3,,,,,2025-12-23T20:00:00Z
Tumisang Orebonye,Botswana,F,4.5,4.0,4.0,1.0,0.3,,,,,2025-12-23T15:00:00Z
Mosha Gaolaolwe,Botswana,D,4.0,4.0,4.0,1.0,0.3,,,,,2025-12-23T15:00:00Z
Daniel Msendami,Zimbabwe,M,4.0,4.0,4.0,1.0,0.3,,,,,2025-12-22T20:00:00Z
Zaydou Youssouf,Comoros,M,5.0,3.0,3.0,1.0,0.3,,,,,2025-12-21T19:00:00Z
Mustafa Karshoum,Sudan,D,4.5,3.0,3.0,1.0,0.3,,,,,2025-12-24T15:00:00Z
Benjaloud Youssouf,Comoros,D,4.5,3.0,3.0,1.0,0.3,,,,,2025-12-21T19:00:00Z
Lebogang Ditsele,Botswana,M,4.0,3.0,3.0,1.0,0.3,,,,,2025-12-23T15:00:00Z
Monged Elneel,Sudan,G,4.0,3.0,3.0,1.0,0.3,,,,,2025-12-24T15:00:00Z
Yaser Awad Boshara,Sudan,D,4.0,2.0,2.0,1.0,0.3,,,,,2025-12-24T15:00:00Z
Gerzino Nyamsi,Cameroon,D,5.0,1.0,1.0,0.0,0.3,,,,,2025-12-24T20:00:00Z
Siphephelo Sithole,South Africa,M,5.0,1.0,1.0,1.0,0.3,,,,,2025-12-22T17:00:00Z
Jordan Obita,Uganda,D,5.0,1.0,1.0,1.0,0.3,,,,,2025-12-23T20:00:00Z
Kabelo Seakanyeng,Botswana,M,4.5,1.0,1.0,1.0,0.3,,,,,2025-12-23T15:00:00Z
Hugo Marques,Angola,G,4.0,1.0,1.0,1.0,0.3,,,,,2025-12-22T17:00:00Z
James Bogere,Uganda,F,4.0,1.0,1.0,0.0,0.3,,,,,2025-12-23T20:00:00Z
Christopher Operi,Côte d'Ivoire,D,5.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T17:30:00Z
Samukelo Kabini,South Africa,D,5.0,0.0,0.0,0.0,0.3,,,,,2025-12-22T17:00:00Z
Nader Ghandri,Tunisia,D,5.0,0.0,0.0,0.0,0.3,,,,,2025-12-23T20:00:00Z
Salah Mohsen,Egypt,F,5.0,0.0,0.0,0.0,0.3,,,,,2025-12-22T20:00:00Z
Patrick Soko,Cameroon,F,5.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T20:00:00Z
Johann Obiang,Gabon,D,5.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T20:00:00Z
Randy Nteka,Angola,F,5.0,0.0,0.0,0.0,0.3,,,,,2025-12-22T17:00:00Z
David Kiki,Benin,D,5.0,0.0,0.0,0.0,0.3,,,,,2025-12-23T12:30:00Z
Knowledge Musona,Zimbabwe,M,4.5,0.0,0.0,0.0,0.3,,,,,2025-12-22T20:00:00Z
Armel Junior Zohouri,Côte d'Ivoire,D,4.5,0.0,0.0,0.0,0.3,,,,,2025-12-24T17:30:00Z
Abdoul Rachid Ayinde,Burkina Faso,D,4.5,0.0,0.0,0.0,0.3,,,,,2025-12-24T12:30:00Z
Feliciano Jone Nenê,Mozambique,D,4.5,0.0,0.0,0.0,0.3,,,,,2025-12-24T17:30:00Z
Wilson Nangu,Tanzania,D,4.5,0.0,0.0,0.0,0.3,,,,,2025-12-23T17:30:00Z
Núrio Fortuna,Angola,D,4.5,0.0,0.0,0.0,0.3,,,,,2025-12-22T17:00:00Z
Morice Abraham,Tanzania,M,4.5,0.0,0.0,0.0,0.3,,,,,2025-12-23T17:30:00Z
Charlemagne Azongnitode,Benin,D,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-23T12:30:00Z
Mamadou Samassa,Mali,G,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-22T14:00:00Z
Rayan Lutin,Comoros,M,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-21T19:00:00Z
Edmilson Gabriel Dove,Mozambique,D,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T17:30:00Z
Iddi Selemani,Tanzania,F,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-23T17:30:00Z
Al-Gozoli Nooh,Sudan,M,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T15:00:00Z
Byaruhanga Bobosi,Uganda,M,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-23T20:00:00Z
Francis Mwansa,Zambia,G,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-22T14:00:00Z
Amas Obasogie,Nigeria,G,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-23T17:30:00Z
Salim Ben Boina,Comoros,G,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-21T19:00:00Z
Thabo Leinanyane,Botswana,D,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-23T15:00:00Z
Anse Ngoubi Demba,Gabon,G,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T20:00:00Z
El Fardou Ben,Comoros,F,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-21T19:00:00Z
Prosper Padera,Zimbabwe,M,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-22T20:00:00Z
Muhamed Tia Asad,Sudan,F,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T15:00:00Z
Adel Anzimati-Aboudou,Comoros,G,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-21T19:00:00Z
Jannick Buyla,Equatorial Guinea,M,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T12:30:00Z
Melque Alexandre,Mozambique,F,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T17:30:00Z
Mick Onfia,Gabon,D,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T20:00:00Z
François Bekale,Gabon,G,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-24T20:00:00Z
Isaac Muleme,Uganda,D,4.0,0.0,0.0,0.0,0.3,,,,,2025-12-23T20:00:00Z
Ismaël Boura,Comoros,D,5.0,-1.0,-1.0,1.0,0.3,,,,,2025-12-21T19:00:00Z
Thabo Maponda,Botswana,F,4.0,-1.0,-1.0,0.0,0.3,,,,,2025-12-23T15:00:00Z
Basilio Ndong,Equatorial Guinea,D,4.5,-3.0,-3.0,1.0,0.3,,,,,2025-12-24T12:30:00Z
Usman Mohammed,Nigeria,M,5.0,,,,0.3,,,,,2025-12-23T17:30:00Z
Salim Fago Lawal,Nigeria,F,5.0,,,,0.3,,,,,2025-12-23T17:30:00Z
Urie-Michel Mboula,Gabon,D,4.5,,,,0.3,,,,,2025-12-24T20:00:00Z
Josete Miranda,Equatorial Guinea,F,4.5,,,,0.3,,,,,2025-12-24T12:30:00Z
Pascal Phiri,Zambia,F,4.0,,,,0.3,,,,,2025-12-22T14:00:00Z
Martín Mapisa,Zimbabwe,G,4.0,,,,0.3,,,,,2025-12-22T20:00:00Z
Musa Ali Hussein,Sudan,F,4.0,,,,0.3,,,,,2025-12-24T15:00:00Z
Dominic Chanda,Zambia,D,4.0,4.0,4.0,1.0,0.2,,,,,2025-12-22T14:00:00Z
Alfons Amade,Mozambique,M,5.0,3.0,3.0,1.0,0.2,,,,,2025-12-24T17:30:00Z
Haji Mnoga,Tanzania,M,5.0,3.0,3.0,0.0,0.2,,,,,2025-12-23T17:30:00Z
Tarryn Allarakhia,Tanzania,M,4.5,3.0,3.0,1.0,0.2,,,,,2025-12-23T17:30:00Z
Manuel Kambala,Mozambique,M,4.5,3.0,3.0,1.0,0.2,,,,,2025-12-24T17:30:00Z
Abo Eisa,Sudan,F,4.5,3.0,3.0,1.0,0.2,,,,,2025-12-24T15:00:00Z
Esteban Orozco,Equatorial Guinea,D,4.5,3.0,3.0,1.0,0.2,,,,,2025-12-24T12:30:00Z
Mohamed Abuaagla,Sudan,M,4.0,3.0,3.0,1.0,0.2,,,,,2025-12-24T15:00:00Z
Owen Tembo,Zambia,M,4.5,2.0,2.0,1.0,0.2,,,,,2025-12-22T14:00:00Z
Munashe Garananga,Zimbabwe,D,4.5,2.0,2.0,1.0,0.2,,,,,2025-12-22T20:00:00Z
Mothusi Johnson,Botswana,D,4.0,2.0,2.0,1.0,0.2,,,,,2025-12-23T15:00:00Z
Myziane Maolida,Comoros,M,5.0,1.0,1.0,0.0,0.2,,,,,2025-12-21T19:00:00Z
Kassim M'Dahoma,Comoros,D,5.0,1.0,1.0,0.0,0.2,,,,,2025-12-21T19:00:00Z
Santiago Bocari Eneme,Equatorial Guinea,M,5.0,1.0,1.0,0.0,0.2,,,,,2025-12-24T12:30:00Z
Yacine Bourhane,Comoros,M,5.0,1.0,1.0,0.0,0.2,,,,,2025-12-21T19:00:00Z
Samadou Attidjikou,Benin,M,5.0,1.0,1.0,0.0,0.2,,,,,2025-12-23T12:30:00Z
Eric Bocoum Baboue,Gabon,F,5.0,1.0,1.0,1.0,0.2,,,,,2025-12-24T20:00:00Z
Stanley Ratifo,Mozambique,F,5.0,1.0,1.0,1.0,0.2,,,,,2025-12-24T17:30:00Z
Kennedy Musonda,Zambia,F,5.0,1.0,1.0,0.0,0.2,,,,,2025-12-22T14:00:00Z
Alphonce Msanga,Tanzania,M,4.5,1.0,1.0,1.0,0.2,,,,,2025-12-23T17:30:00Z
Mohamed Eisa,Sudan,F,4.5,1.0,1.0,1.0,0.2,,,,,2025-12-24T15:00:00Z
Clench Loufilou,Gabon,M,4.5,1.0,1.0,0.0,0.2,,,,,2025-12-24T20:00:00Z
Dominguês Pelembe,Mozambique,M,4.5,1.0,1.0,0.0,0.2,,,,,2025-12-24T17:30:00Z
Kenan Toibibou,Comoros,D,4.5,1.0,1.0,1.0,0.2,,,,,2025-12-21T19:00:00Z
Jodel Dossou,Benin,F,4.5,1.0,1.0,1.0,0.2,,,,,2025-12-23T12:30:00Z
Rodolfo Aloko,Benin,M,4.5,1.0,1.0,1.0,0.2,,,,,2025-12-23T12:30:00Z
Romaric Amoussou,Benin,M,4.5,1.0,1.0,0.0,0.2,,,,,2025-12-23T12:30:00Z
Ahmed Soilihi,Comoros,D,4.0,1.0,1.0,1.0,0.2,,,,,2025-12-21T19:00:00Z
Dorian Hanza,Equatorial Guinea,F,4.0,1.0,1.0,0.0,0.2,,,,,2025-12-24T12:30:00Z
Nanani Infren,Mozambique,D,4.0,1.0,1.0,0.0,0.2,,,,,2025-12-24T17:30:00Z
Godknows Murwira,Zimbabwe,D,4.0,1.0,1.0,1.0,0.2,,,,,2025-12-22T20:00:00Z
Kelvin John,Tanzania,F,5.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T17:30:00Z
Saïd Bakari,Comoros,D,5.0,0.0,0.0,0.0,0.2,,,,,2025-12-21T19:00:00Z
Teddy Averlant,Gabon,M,5.0,0.0,0.0,1.0,0.2,,,,,2025-12-24T20:00:00Z
Tawanda Maswanhise,Zimbabwe,F,5.0,0.0,0.0,0.0,0.2,,,,,2025-12-22T20:00:00Z
Mário Balbúrdia,Angola,M,5.0,0.0,0.0,0.0,0.2,,,,,2025-12-22T17:00:00Z
Manuel Keliano,Angola,M,5.0,0.0,0.0,0.0,0.2,,,,,2025-12-22T17:00:00Z
Baba Alhassan,Uganda,M,5.0,0.0,0.0,0.0,0.2,,,,,2025-12-23T20:00:00Z
Yasir Mozamil,Sudan,F,5.0,0.0,0.0,0.0,0.2,,,,,2025-12-24T15:00:00Z
Cédric Badolo,Burkina Faso,M,5.0,0.0,0.0,0.0,0.2,,,,,2025-12-24T12:30:00Z
Loren Zúñiga,Equatorial Guinea,F,5.0,0.0,0.0,1.0,0.2,,,,,2025-12-24T12:30:00Z
Ary Papel,Angola,F,5.0,0.0,0.0,0.0,0.2,,,,,2025-12-22T17:00:00Z
Tebogo Kopelang,Botswana,D,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-23T15:00:00Z
Toby Sibbick,Uganda,D,4.5,0.0,0.0,1.0,0.2,,,,,2025-12-23T20:00:00Z
Adam Akimey,Benin,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-23T12:30:00Z
Jude Ssemugabi,Uganda,F,4.5,0.0,0.0,1.0,0.2,,,,,2025-12-23T20:00:00Z
Alex Masogo,Equatorial Guinea,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-24T12:30:00Z
Abdel Hakim Abdallah,Comoros,D,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-21T19:00:00Z
Witi,Mozambique,M,4.5,0.0,0.0,1.0,0.2,,,,,2025-12-24T17:30:00Z
Aboubacar Ali Abdallah,Comoros,F,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-21T19:00:00Z
Aymeric Ahmed,Comoros,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-21T19:00:00Z
Wilson Chisala,Zambia,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-22T14:00:00Z
Zaïd Amir,Comoros,F,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-21T19:00:00Z
Rodrigue Kossi,Benin,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-23T12:30:00Z
Joseph Sabobo,Zambia,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-22T14:00:00Z
Rémy Vita,Comoros,D,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-21T19:00:00Z
Bill Antonio,Zimbabwe,F,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-22T20:00:00Z
Mariano Ahouangbo,Benin,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-23T12:30:00Z
Kelvin Nashon,Tanzania,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-23T17:30:00Z
Alex Balboa,Equatorial Guinea,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-24T12:30:00Z
Obino Chisala,Zambia,M,4.5,0.0,0.0,0.0,0.2,,,,,2025-12-22T14:00:00Z
